stores_id,Name,store_url
588,"Tiệm Bé Cá – Trà Sữa, Mỳ Ý & Sandwich",https://shopeefood.vn/ha-noi/tiem-be-ca-tra-sua-my-y-sandwich
589,Phúc Nguyễn - Trái Cây Tươi & Nước Ép Trái Cây Tươi - Trần Quốc Vượng,https://shopeefood.vn/ha-noi/phuc-nguyen-trai-cay-tuoi-nuoc-ep-trai-cay-tuoi-tran-quoc-vuong
590,PHỞ PHỐ CỔ - Phở & Cơm Rang - Thịnh Liệt,https://shopeefood.vn/ha-noi/pho-pho-co-pho-com-rang-thinh-liet
591,"688 Food - Mỳ cay, Mỳ trộn & Mỳ tương đen - Mỹ Đình",https://shopeefood.vn/ha-noi/688-food-my-cay-my-tron-my-tuong-den-my-dinh
592,Ốc 29 - Ốc Hải Sản & Đồ Ăn Vặt - 38 Yên Lãng,https://shopeefood.vn/ha-noi/oc-29-oc-hai-san-do-an-vat-38-yen-lang
593,Long Xã Đàn - Bún Sườn Chua - Chùa Láng,https://shopeefood.vn/ha-noi/long-xa-dan-bun-suon-chua-chua-lang
594,Chicky - Cơm & Gà Rán Ăn Vặt - Đại An,https://shopeefood.vn/ha-noi/chicky-com-ga-ran-an-vat-dai-an
595,Bún Chả Ba Cô - Mễ Trì Hạ,https://shopeefood.vn/ha-noi/bun-cha-ba-co-me-tri-ha
596,Tossful - Salad Bar - Liễu Giai,https://shopeefood.vn/ha-noi/tossful-salad-bar-lieu-giai
597,Korea House - Đồ Ăn Hàn Quốc Và Cơm Trộn - Ngõ Chùa Liên Phái,https://shopeefood.vn/ha-noi/korea-house-do-an-han-quoc-va-com-tron-ngo-chua-lien-phai
598,Trâm - Bánh Mì Sốt Vang Đình Ngang - Vinhomes Ocean Park,https://shopeefood.vn/ha-noi/tram-banh-mi-sot-vang-dinh-ngang-vinhomes-ocean-park
599,Mokchang - Đồ Ăn Hàn Quốc - Láng Hạ,https://shopeefood.vn/ha-noi/mokchang-do-an-han-quoc-lang-ha
600,Bếp Nhà Châu - Eatclean & Healthy,https://shopeefood.vn/ha-noi/bep-nha-chau-eatclean-healthy
601,Tiến Thành - Mỳ Trộn Indomie - 18 Tương Mai,https://shopeefood.vn/ha-noi/tien-thanh-my-tron-indomie-18-tuong-mai
602,Cháo Lòng Phương Linh,https://shopeefood.vn/ha-noi/chao-long-phuong-linh
603,Bún Ốc Sườn Cô Sáu - Lạc Trung,https://shopeefood.vn/ha-noi/bun-oc-suon-co-sau-lac-trung
604,Bánh Mì Nem Khoai Và Bánh Gà - Minh Châu,https://shopeefood.vn/ha-noi/banh-mi-nem-khoai-va-banh-ga-minh-chau
605,A Béo - Mỳ Trộn Indomie - Nguyễn An Ninh,https://shopeefood.vn/ha-noi/a-beo-my-tron-indomie-nguyen-an-ninh
606,Bánh Tráng Dì Oanh,https://shopeefood.vn/ha-noi/banh-trang-di-oanh
607,Bánh Mì Nướng Muối Ớt Minh Châu - Hoa Bằng,https://shopeefood.vn/ha-noi/banh-mi-nuong-muoi-ot-minh-chau-hoa-bang
608,Nem Nắm & Nem Tai - Thu Hương (Since 2005) - Nguyễn An Ninh,https://shopeefood.vn/ha-noi/nem-nam-nem-tai-thu-huong-since-2005-nguyen-an-ninh
609,Chè Sầu Liên & Đồ Ăn Vặt - Định Công,https://shopeefood.vn/ha-noi/che-sau-lien-do-an-vat-dinh-cong
610,"Lương Tâm - Bánh Mì, Burger & Đồ Trộn",https://shopeefood.vn/ha-noi/luong-tam-banh-mi-burger-do-tron
611,Tự Nhiên Thấy Đói - Mỳ Cay & Gà Ủ Muối - Nguyễn Khánh Toàn,https://shopeefood.vn/ha-noi/tu-nhien-thay-doi-my-cay-ga-u-muoi-nguyen-khanh-toan
612,Quán Cơm Ngon - Cơm Rang Đùi Gà,https://shopeefood.vn/ha-noi/quan-com-bop-com-rang-dui-ga
613,Japchae - Miến Trộn Hàn Quốc,https://shopeefood.vn/ha-noi/japchae-mien-tron-han-quoc
614,Đồ Ăn Vặt - Bảo Linh,https://shopeefood.vn/ha-noi/do-an-vat-bao-linh
615,Tuý Food - Mì Trộn Indomie - 7/27 Đại Cồ Việt,https://shopeefood.vn/ha-noi/tuy-food-mi-tron-indomie-7-27-dai-co-viet
