name,old_price,current_price,img_url
Sinh Tố Dứa Dâu Cốt Dừa,40.000đ,37.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqz1a9h2t7dl17
Sinh Tố Dứa Xoài Cam Chuối,45.000đ,37.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyc3xtzgal595
Sinh Tố Xoài Dứa,38.000đ,37.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycvru1813ta5
Sinh Tố Chuối Dâu,38.000đ,37.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqybxs8voeys79
Sinh Tố Xoài Vải,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3n67pcn6hl42
Sinh Tố Chuối Kiwi,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycxpt4pf448d
Sinh Tố Táo Dứa,N/A,40.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqya3ofw8gbd76
Sinh Tố Vải Nho,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3o0823ock973
Sinh Tố Nho Phúc Bồn Tử,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr6eo844en5w71
Sinh Tố Vải Phúc Bồn Tử,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3oobwloqf859
Sinh Tố Nho Vải,38.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqz0r8kr2r2x91
Sữa Chua Xoài,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3dm9oa8tdw4d
Sữa Chua Việt Quất,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3o0irrzykkb9
Sữa Chua Hoa Quả,39.000đ,37.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyc3wryyimc14
Sữa Chua Chanh Leo,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycsoci94g41e
Sữa Chua Đánh Đá,N/A,29.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyc3x8cq0g464
Sữa Chua Nho Đen,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqz1fzrywukk3f
Sữa Chua Dâu Tây,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3n6incmlz8b6
Sữa Chua Phúc Bồn Tử,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyyf0c4e47894
Sữa Chua Kiwi,35.000đ,32.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqz0rgst1iftf5
Trà Đào,N/A,20.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqybxr9n3zbt42
Trà Chanh Nha Đam,N/A,20.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycvpishml56d
Trà Đào Cam Sả,35.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqybxrp6h8rdb6
Trà Quất Nha Đam,N/A,20.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycvq5tlbx51b
Trà vải nha đam,N/A,25.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr4keqtxhmf860
Trà Trái Cây Nhiệt Đới,30.000đ,29.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqycxpa9h121fc
Kim Quất Nha Đam,N/A,25.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqybxqp3y10910
Trà cam thạch dừa,N/A,25.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0pmigf56tg2c
Trà kiwi nha đam,N/A,25.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr4isv7mjb155f
Trà dâu nha đam,N/A,25.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0tnbwvvpac5a
Trà ổi nha đam,N/A,25.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0v7s9hs5okcb
Mỳ Indomie Thập Cẩm Đặc Biệt,N/A,63.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqysxeyzxtw9c4
Mỳ Indomie Thập Cẩm,N/A,59.000đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr69ot7c8nfdba
Mỳ Trộn Indomie Xúc Xích + Bò Viên,45.000đ,37.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr3ki3jw5n7o73
Mỳ Trộn Indomie Xúc Xích + Chả Viên,43.000đ,37.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqyr2bjamz0ka8
Mỳ Indomie Chả Cá + Tôm Viên,43.000đ,37.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr69oktgif1534
Mỳ Indomie Tôm Surimi + mực xoắn,53.000đ,45.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0nq4h3ydndc6
Mỳ Indomie hồ lô thịt bò khô,49.000đ,42.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr0uh0pzt40pbe
Topping thập cẩm,49.000đ,45.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lr78lmjt5kn878
Mỳ Indomie Xúc Xích + Tôm Surimi,49.000đ,42.500đ,https://down-bs-vn.img.susercontent.com/vn-11134517-7r98o-lqysxd4ymgt5aa
